gate_id	command	exit_code	duration_seconds	log_ref	test_count	result
01-compose-config	docker compose --profile dev config --quiet	0	0	artifacts/verification/milestone-01-clean/logs/01-compose-config.log		PASS
02-build-api	docker compose --profile dev build api	0	4	artifacts/verification/milestone-01-clean/logs/02-build-api.log		PASS
03-image-digest	docker image inspect jobseeker_m01_clean3-api --format \{\{.Id\}\}	0	0	artifacts/verification/milestone-01-clean/logs/03-image-digest.log		PASS
04-validate-docs	docker compose --profile dev run --rm --no-deps api python scripts/validate_docs.py	0	1	artifacts/verification/milestone-01-clean/logs/04-validate-docs.log		PASS
05-validate-milestone	docker compose --profile dev run --rm --no-deps api python scripts/validate_milestone.py --all	0	1	artifacts/verification/milestone-01-clean/logs/05-validate-milestone.log		PASS
06-validate-codex-controls	docker compose --profile dev run --rm --no-deps api python scripts/validate_codex_controls.py	0	1	artifacts/verification/milestone-01-clean/logs/06-validate-codex-controls.log		PASS
07-ruff	docker compose --profile dev run --rm --no-deps api ruff check .	0	1	artifacts/verification/milestone-01-clean/logs/07-ruff.log		PASS
08-mypy	docker compose --profile dev run --rm --no-deps api mypy src	0	2	artifacts/verification/milestone-01-clean/logs/08-mypy.log		PASS
09-pytest	docker compose --profile dev run --rm --no-deps api pytest -q	0	2	artifacts/verification/milestone-01-clean/logs/09-pytest.log	101	PASS
10-pre-commit	docker compose --profile dev run --rm --no-deps api sh -c git\ config\ --global\ --add\ safe.directory\ /app\ \&\&\ pre-commit\ run\ --all-files	0	3	artifacts/verification/milestone-01-clean/logs/10-pre-commit.log		PASS
